1)   Score(precision=0.7777777777777778, recall=0.3888888888888889, fmeasure=0.5185185185185185)
312)   Score(precision=0.6666666666666666, recall=0.2909090909090909, fmeasure=0.40506329113924044)
313)   Score(precision=0.7058823529411765, recall=0.16901408450704225, fmeasure=0.27272727272727276)
314)   Score(precision=0.48, recall=0.34285714285714286, fmeasure=0.39999999999999997)
315)   Score(precision=0.38461538461538464, recall=0.3125, fmeasure=0.3448275862068966)
316)   Score(precision=0.27586206896551724, recall=0.0975609756097561, fmeasure=0.14414414414414417)
317)   Score(precision=0.34210526315789475, recall=0.20634920634920634, fmeasure=0.25742574257425743)
318)   Score(precision=0.3023255813953488, recall=0.4482758620689655, fmeasure=0.36111111111111105)
319)   Score(precision=0.8571428571428571, recall=0.10344827586206896, fmeasure=0.1846153846153846)
320)   Score(precision=0.3235294117647059, recall=0.23404255319148937, fmeasure=0.271604938271605)
321)   Score(precision=0.4375, recall=0.2692307692307692, fmeasure=0.33333333333333337)
322)   Score(precision=0.5454545454545454, recall=0.06818181818181818, fmeasure=0.12121212121212122)
323)   Score(precision=0.18181818181818182, recall=0.2, fmeasure=0.1904761904761905)
324)   Score(precision=0.26666666666666666, recall=0.1, fmeasure=0.14545454545454545)
325)   Score(precision=0.6, recall=0.16, fmeasure=0.25263157894736843)
326)   Score(precision=0.7272727272727273, recall=0.11940298507462686, fmeasure=0.20512820512820515)
327)   Score(precision=0.24, recall=0.1276595744680851, fmeasure=0.16666666666666666)
328)   Score(precision=0.5757575757575758, recall=0.31666666666666665, fmeasure=0.40860215053763443)
329)   Score(precision=0.36363636363636365, recall=0.13559322033898305, fmeasure=0.19753086419753088)
330)   Score(precision=0.44, recall=0.16176470588235295, fmeasure=0.23655913978494625)
331)   Score(precision=0.35294117647058826, recall=0.24489795918367346, fmeasure=0.2891566265060241)
332)   Score(precision=0.19230769230769232, recall=0.13157894736842105, fmeasure=0.15625)
333)   Score(precision=0.125, recall=0.2, fmeasure=0.15384615384615385)
334)   Score(precision=0.3333333333333333, recall=0.14814814814814814, fmeasure=0.20512820512820512)
335)   Score(precision=0.6666666666666666, recall=0.30434782608695654, fmeasure=0.41791044776119407)
336)   Score(precision=0.5, recall=0.2, fmeasure=0.28571428571428575)
337)   Score(precision=0.47058823529411764, recall=0.13114754098360656, fmeasure=0.20512820512820512)
338)   Score(precision=0.2916666666666667, recall=0.17073170731707318, fmeasure=0.21538461538461542)
339)   Score(precision=0.5625, recall=0.4, fmeasure=0.4675324675324675)
340)   Score(precision=0.2857142857142857, recall=0.4, fmeasure=0.3333333333333333)
341)   Score(precision=0.5945945945945946, recall=0.29333333333333333, fmeasure=0.3928571428571429)
342)   Score(precision=0.5227272727272727, recall=0.2911392405063291, fmeasure=0.37398373983739835)
343)   Score(precision=0.3235294117647059, recall=0.16176470588235295, fmeasure=0.2156862745098039)
344)   Score(precision=0.40625, recall=0.18055555555555555, fmeasure=0.25)
345)   Score(precision=0.2916666666666667, recall=0.11475409836065574, fmeasure=0.16470588235294117)
346)   Score(precision=0.2857142857142857, recall=0.12903225806451613, fmeasure=0.17777777777777778)
347)   Score(precision=0.6086956521739131, recall=0.23333333333333334, fmeasure=0.3373493975903614)
348)   Score(precision=0.4230769230769231, recall=0.2, fmeasure=0.2716049382716049)
349)   Score(precision=0.23333333333333334, recall=0.17073170731707318, fmeasure=0.1971830985915493)
350)   Score(precision=0.4, recall=0.14084507042253522, fmeasure=0.20833333333333334)
351)   Score(precision=0.45714285714285713, recall=0.4, fmeasure=0.42666666666666664)
352)   Score(precision=0.5714285714285714, recall=0.1095890410958904, fmeasure=0.1839080459770115)
353)   Score(precision=0.125, recall=0.07692307692307693, fmeasure=0.09523809523809525)
354)   Score(precision=0.2222222222222222, recall=0.12903225806451613, fmeasure=0.16326530612244897)
355)   Score(precision=0.3333333333333333, recall=0.0547945205479452, fmeasure=0.09411764705882353)
356)   Score(precision=0.6428571428571429, recall=0.1875, fmeasure=0.2903225806451613)
357)   Score(precision=0.375, recall=0.17647058823529413, fmeasure=0.24)
358)   Score(precision=0.3055555555555556, recall=0.21153846153846154, fmeasure=0.25)
359)   Score(precision=0.7272727272727273, recall=0.3018867924528302, fmeasure=0.4266666666666667)
360)   Score(precision=0.5, recall=0.12195121951219512, fmeasure=0.19607843137254902)
361)   Score(precision=0.08695652173913043, recall=0.1, fmeasure=0.09302325581395349)
362)   Score(precision=0.5, recall=0.2127659574468085, fmeasure=0.2985074626865672)
363)   Score(precision=0.3902439024390244, recall=0.2962962962962963, fmeasure=0.3368421052631579)
364)   Score(precision=0.6153846153846154, recall=0.1038961038961039, fmeasure=0.1777777777777778)
365)   Score(precision=0.47058823529411764, recall=0.19047619047619047, fmeasure=0.27118644067796605)
366)   Score(precision=0.2641509433962264, recall=0.27450980392156865, fmeasure=0.2692307692307692)
367)   Score(precision=0.5555555555555556, recall=0.4411764705882353, fmeasure=0.49180327868852464)
368)   Score(precision=0.47368421052631576, recall=0.1875, fmeasure=0.2686567164179105)
369)   Score(precision=0.07142857142857142, recall=0.14285714285714285, fmeasure=0.09523809523809523)
370)   Score(precision=0.45454545454545453, recall=0.0641025641025641, fmeasure=0.11235955056179772)
371)   Score(precision=0.5909090909090909, recall=0.23636363636363636, fmeasure=0.33766233766233766)
372)   Score(precision=0.23333333333333334, recall=0.09333333333333334, fmeasure=0.13333333333333333)
373)   Score(precision=0.3684210526315789, recall=0.13725490196078433, fmeasure=0.2)
374)   Score(precision=0.36, recall=0.21951219512195122, fmeasure=0.27272727272727276)
375)   Score(precision=0.46938775510204084, recall=0.3484848484848485, fmeasure=0.4000000000000001)
376)   Score(precision=0.2777777777777778, recall=0.18518518518518517, fmeasure=0.22222222222222224)
377)   Score(precision=0.0, recall=0.0, fmeasure=0.0)
378)   Score(precision=0.375, recall=0.26785714285714285, fmeasure=0.31250000000000006)
379)   Score(precision=0.030303030303030304, recall=0.05, fmeasure=0.03773584905660378)
380)   Score(precision=0.34, recall=0.3148148148148148, fmeasure=0.3269230769230769)
381)   Score(precision=0.6666666666666666, recall=0.15873015873015872, fmeasure=0.2564102564102564)
382)   Score(precision=0.14285714285714285, recall=0.17391304347826086, fmeasure=0.1568627450980392)
383)   Score(precision=0.25, recall=0.04950495049504951, fmeasure=0.08264462809917356)
384)   Score(precision=0.46875, recall=0.22727272727272727, fmeasure=0.30612244897959184)
385)   Score(precision=0.2826086956521739, recall=0.5, fmeasure=0.3611111111111111)
386)   Score(precision=0.6296296296296297, recall=0.22666666666666666, fmeasure=0.3333333333333333)
387)   Score(precision=0.34146341463414637, recall=0.30434782608695654, fmeasure=0.3218390804597701)
388)   Score(precision=0.391304347826087, recall=0.15254237288135594, fmeasure=0.21951219512195125)
389)   Score(precision=0.1836734693877551, recall=0.2, fmeasure=0.19148936170212766)
390)   Score(precision=0.5151515151515151, recall=0.2125, fmeasure=0.30088495575221236)
391)   Score(precision=0.5, recall=0.3, fmeasure=0.37499999999999994)
392)   Score(precision=0.16666666666666666, recall=0.12121212121212122, fmeasure=0.14035087719298245)
393)   Score(precision=0.36363636363636365, recall=0.22857142857142856, fmeasure=0.2807017543859649)
394)   Score(precision=0.53125, recall=0.2463768115942029, fmeasure=0.33663366336633666)
395)   Score(precision=0.125, recall=0.5714285714285714, fmeasure=0.20512820512820512)
396)   Score(precision=0.45161290322580644, recall=0.24561403508771928, fmeasure=0.3181818181818182)
397)   Score(precision=0.5294117647058824, recall=0.21428571428571427, fmeasure=0.30508474576271183)
398)   Score(precision=0.5882352941176471, recall=0.2, fmeasure=0.29850746268656714)
399)   Score(precision=0.34210526315789475, recall=0.4482758620689655, fmeasure=0.3880597014925373)
400)   Score(precision=0.38461538461538464, recall=0.08620689655172414, fmeasure=0.14084507042253522)
401)   Score(precision=0.3469387755102041, recall=0.3333333333333333, fmeasure=0.33999999999999997)
402)   Score(precision=0.34146341463414637, recall=0.3684210526315789, fmeasure=0.35443037974683544)
403)   Score(precision=0.2857142857142857, recall=0.23529411764705882, fmeasure=0.2580645161290323)
404)   Score(precision=0.16666666666666666, recall=0.23076923076923078, fmeasure=0.1935483870967742)
405)   Score(precision=0.2, recall=0.19047619047619047, fmeasure=0.1951219512195122)
406)   Score(precision=0.5, recall=0.1016949152542373, fmeasure=0.16901408450704228)
407)   Score(precision=0.3333333333333333, recall=0.10416666666666667, fmeasure=0.15873015873015875)
408)   Score(precision=0.35294117647058826, recall=0.3870967741935484, fmeasure=0.36923076923076925)
409)   Score(precision=0.25, recall=0.1836734693877551, fmeasure=0.21176470588235297)
410)   Score(precision=0.37037037037037035, recall=0.1694915254237288, fmeasure=0.2325581395348837)
411)   Score(precision=0.375, recall=0.3103448275862069, fmeasure=0.339622641509434)
412)   Score(precision=0.2222222222222222, recall=0.05970149253731343, fmeasure=0.09411764705882353)
413)   Score(precision=0.21875, recall=0.21212121212121213, fmeasure=0.21538461538461537)
414)   Score(precision=0.6842105263157895, recall=0.23214285714285715, fmeasure=0.3466666666666667)
415)   Score(precision=0.3333333333333333, recall=0.2413793103448276, fmeasure=0.28)
416)   Score(precision=0.14285714285714285, recall=0.06666666666666667, fmeasure=0.09090909090909091)
417)   Score(precision=0.6, recall=0.38461538461538464, fmeasure=0.46875)
418)   Score(precision=0.8, recall=0.45454545454545453, fmeasure=0.5797101449275363)
419)   Score(precision=0.46153846153846156, recall=0.22641509433962265, fmeasure=0.30379746835443033)
420)   Score(precision=0.25, recall=0.25925925925925924, fmeasure=0.2545454545454545)
421)   Score(precision=0.34615384615384615, recall=0.17307692307692307, fmeasure=0.23076923076923078)
422)   Score(precision=0.1388888888888889, recall=0.16129032258064516, fmeasure=0.14925373134328357)
423)   Score(precision=0.391304347826087, recall=0.20454545454545456, fmeasure=0.2686567164179105)
424)   Score(precision=0.3076923076923077, recall=0.2608695652173913, fmeasure=0.2823529411764706)
425)   Score(precision=0.21428571428571427, recall=0.03896103896103896, fmeasure=0.06593406593406594)
426)   Score(precision=0.22580645161290322, recall=0.15555555555555556, fmeasure=0.18421052631578946)
427)   Score(precision=0.18, recall=0.28125, fmeasure=0.21951219512195122)
428)   Score(precision=0.5882352941176471, recall=0.45454545454545453, fmeasure=0.5128205128205129)
429)   Score(precision=0.46875, recall=0.2777777777777778, fmeasure=0.3488372093023256)
430)   Score(precision=0.5625, recall=0.2647058823529412, fmeasure=0.36000000000000004)
431)   Score(precision=0.5714285714285714, recall=0.11428571428571428, fmeasure=0.19047619047619044)
432)   Score(precision=0.4166666666666667, recall=0.06172839506172839, fmeasure=0.10752688172043011)
433)   Score(precision=0.3333333333333333, recall=0.28, fmeasure=0.30434782608695654)
434)   Score(precision=0.16666666666666666, recall=0.08823529411764706, fmeasure=0.11538461538461539)
435)   Score(precision=0.4864864864864865, recall=0.3333333333333333, fmeasure=0.3956043956043956)
436)   Score(precision=0.32727272727272727, recall=0.5454545454545454, fmeasure=0.4090909090909091)
437)   Score(precision=0.5, recall=0.2037037037037037, fmeasure=0.28947368421052627)
438)   Score(precision=0.45454545454545453, recall=0.4098360655737705, fmeasure=0.43103448275862066)
439)   Score(precision=0.4883720930232558, recall=0.3333333333333333, fmeasure=0.39622641509433965)
440)   Score(precision=0.17647058823529413, recall=0.24, fmeasure=0.20338983050847456)
441)   Score(precision=0.5, recall=0.09836065573770492, fmeasure=0.1643835616438356)
442)   Score(precision=0.72, recall=0.225, fmeasure=0.34285714285714286)
443)   Score(precision=0.42857142857142855, recall=0.15, fmeasure=0.2222222222222222)
444)   Score(precision=0.358974358974359, recall=0.21212121212121213, fmeasure=0.26666666666666666)
445)   Score(precision=0.45, recall=0.18, fmeasure=0.2571428571428572)
446)   Score(precision=0.2558139534883721, recall=0.2, fmeasure=0.22448979591836737)
447)   Score(precision=0.5294117647058824, recall=0.14754098360655737, fmeasure=0.23076923076923075)
448)   Score(precision=0.35, recall=0.27631578947368424, fmeasure=0.3088235294117648)
449)   Score(precision=0.425, recall=0.2537313432835821, fmeasure=0.31775700934579443)
450)   Score(precision=0.21739130434782608, recall=0.1724137931034483, fmeasure=0.19230769230769232)
451)   Score(precision=0.3188405797101449, recall=0.2682926829268293, fmeasure=0.2913907284768212)
452)   Score(precision=0.2631578947368421, recall=0.16129032258064516, fmeasure=0.19999999999999998)
453)   Score(precision=0.23076923076923078, recall=0.10909090909090909, fmeasure=0.14814814814814817)
454)   Score(precision=0.16666666666666666, recall=0.11904761904761904, fmeasure=0.1388888888888889)
455)   Score(precision=0.5, recall=0.4166666666666667, fmeasure=0.45454545454545453)
456)   Score(precision=0.46153846153846156, recall=0.17142857142857143, fmeasure=0.25000000000000006)
457)   Score(precision=0.16, recall=0.38095238095238093, fmeasure=0.22535211267605634)
458)   Score(precision=0.08333333333333333, recall=0.10256410256410256, fmeasure=0.09195402298850573)
459)   Score(precision=0.7142857142857143, recall=0.29411764705882354, fmeasure=0.4166666666666667)
460)   Score(precision=0.8, recall=0.07142857142857142, fmeasure=0.13114754098360656)
461)   Score(precision=0.13114754098360656, recall=0.2857142857142857, fmeasure=0.1797752808988764)
462)   Score(precision=0.5238095238095238, recall=0.2391304347826087, fmeasure=0.32835820895522383)
463)   Score(precision=0.28, recall=0.4117647058823529, fmeasure=0.3333333333333333)
464)   Score(precision=0.7647058823529411, recall=0.23214285714285715, fmeasure=0.35616438356164387)
465)   Score(precision=0.5789473684210527, recall=0.2, fmeasure=0.2972972972972973)
466)   Score(precision=1.0, recall=0.25, fmeasure=0.4)
467)   Score(precision=0.5172413793103449, recall=0.21739130434782608, fmeasure=0.30612244897959184)
468)   Score(precision=0.16, recall=0.1, fmeasure=0.12307692307692307)
469)   Score(precision=0.3333333333333333, recall=0.273972602739726, fmeasure=0.30075187969924816)
470)   Score(precision=0.09090909090909091, recall=0.2, fmeasure=0.12500000000000003)
471)   Score(precision=0.38333333333333336, recall=0.3150684931506849, fmeasure=0.3458646616541353)
472)   Score(precision=0.34210526315789475, recall=0.3611111111111111, fmeasure=0.35135135135135137)
473)   Score(precision=0.25, recall=0.12307692307692308, fmeasure=0.16494845360824742)
474)   Score(precision=0.16363636363636364, recall=0.1, fmeasure=0.12413793103448276)
475)   Score(precision=0.27586206896551724, recall=0.41379310344827586, fmeasure=0.3310344827586207)
476)   Score(precision=0.16216216216216217, recall=0.15, fmeasure=0.15584415584415584)
477)   Score(precision=0.5384615384615384, recall=0.09210526315789473, fmeasure=0.15730337078651685)
478)   Score(precision=0.3870967741935484, recall=0.21052631578947367, fmeasure=0.2727272727272727)
479)   Score(precision=0.25, recall=0.08888888888888889, fmeasure=0.13114754098360656)
480)   Score(precision=0.3829787234042553, recall=0.4186046511627907, fmeasure=0.4)
481)   Score(precision=0.19230769230769232, recall=0.23809523809523808, fmeasure=0.21276595744680848)
482)   Score(precision=0.5652173913043478, recall=0.20634920634920634, fmeasure=0.3023255813953488)
483)   Score(precision=0.35294117647058826, recall=0.23076923076923078, fmeasure=0.2790697674418605)
484)   Score(precision=0.4117647058823529, recall=0.18666666666666668, fmeasure=0.25688073394495414)
485)   Score(precision=0.3125, recall=0.08196721311475409, fmeasure=0.12987012987012986)
486)   Score(precision=0.42857142857142855, recall=0.26666666666666666, fmeasure=0.3287671232876712)
487)   Score(precision=0.2608695652173913, recall=0.2727272727272727, fmeasure=0.2666666666666666)
488)   Score(precision=0.75, recall=0.2727272727272727, fmeasure=0.39999999999999997)
489)   Score(precision=0.7142857142857143, recall=0.3488372093023256, fmeasure=0.46875)
490)   Score(precision=0.32432432432432434, recall=0.36363636363636365, fmeasure=0.34285714285714286)
491)   Score(precision=0.3939393939393939, recall=0.2549019607843137, fmeasure=0.30952380952380953)
492)   Score(precision=0.16279069767441862, recall=0.11666666666666667, fmeasure=0.1359223300970874)
493)   Score(precision=0.22727272727272727, recall=0.2, fmeasure=0.21276595744680854)
494)   Score(precision=0.18181818181818182, recall=0.08163265306122448, fmeasure=0.11267605633802816)
495)   Score(precision=0.2028985507246377, recall=0.2978723404255319, fmeasure=0.24137931034482757)
496)   Score(precision=0.34615384615384615, recall=0.32142857142857145, fmeasure=0.3333333333333333)
497)   Score(precision=0.27058823529411763, recall=0.5111111111111111, fmeasure=0.35384615384615387)
498)   Score(precision=0.16981132075471697, recall=0.20930232558139536, fmeasure=0.18749999999999997)
499)   Score(precision=0.36585365853658536, recall=0.22058823529411764, fmeasure=0.27522935779816515)
500)   Score(precision=0.25, recall=0.17307692307692307, fmeasure=0.20454545454545453)
